,Item_Weight,Item_Visibility,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Has_Been_Standing_For,Minn_sales_of_Item,Max_sales_of_Item,Min_sales_of_store,Min_Visibility,Item_MRP_range
0,9.3,0.016047301,Tier 1,Supermarket Type1,3735.138,10,498.0184,6474.2392,111.8544,0.015944801,2.0999999999999943
1,5.92,0.019278216,Tier 2|3,Supermarket Type2,443.4228,0,443.4228,1478.076,69.2432,0.019107027,2.6000000000000014
2,17.5,0.016760075,Tier 1,Supermarket Type1,2097.27,10,139.81799999999998,2936.178,111.8544,0.016653022,3.1999999999999886
3,19.2,0.0,Tier 2|3,Grocery Store,732.38,11,732.38,4577.375,33.29,0.0,3.4000000000000057
4,8.93,0.0,Tier 2|3,Supermarket Type1,994.7052,22,276.307,994.7052,73.238,0.0,3.1999999999999957
5,10.395,0.0,Tier 2|3,Supermarket Type2,556.6088,0,556.6088,2226.4352,69.2432,0.0,3.3000000000000043
6,13.65,0.012741088999999999,Tier 2|3,Supermarket Type1,343.5528,22,114.5176,1603.2464,73.238,0.0,3.3000000000000043
7,19.0,0.127469857,Tier 2|3,Supermarket Type3,4022.7636,24,1164.4842,4022.7636,241.6854,0.127469857,3.4000000000000057
8,16.2,0.016687114,Tier 2|3,Supermarket Type1,1076.5986,7,293.6178,2740.4328,99.87,0.016639482,2.799999999999997
9,19.2,0.09444959,Tier 2|3,Supermarket Type1,4710.535,2,376.8428,4710.535,143.8128,0.093463546,2.3000000000000114
10,11.8,0.0,Tier 1,Supermarket Type1,1516.0266,10,229.701,1516.0266,111.8544,0.0,1.6000000000000014
11,18.5,0.045463773,Tier 1,Supermarket Type1,2187.153,12,291.6204,3645.255,101.8674,0.0,2.700000000000017
12,15.1,0.1000135,Tier 1,Supermarket Type1,1589.2646,10,433.4358,3323.0078,111.8544,0.0,3.700000000000017
13,17.6,0.047257328,Tier 1,Supermarket Type1,2145.2076,12,119.1782,2621.9204,101.8674,0.047257328,2.700000000000003
14,16.35,0.06802430000000001,Tier 2|3,Supermarket Type1,1977.4260000000002,22,790.9704,3559.3668,73.238,0.0,2.5999999999999943
15,9.0,0.06908896099999999,Tier 1,Supermarket Type1,1547.3192,12,110.5228,1713.1034,101.8674,0.0,2.0
16,11.8,0.008596051,Tier 2|3,Supermarket Type2,1621.8888,0,1158.492,2780.3808,69.2432,0.008519718,2.799999999999997
17,9.0,0.06919637599999999,Tier 1,Supermarket Type1,718.3982,10,110.5228,1713.1034,111.8544,0.0,2.0
18,8.26,0.034237682,Tier 2|3,Supermarket Type3,2303.6679999999997,24,115.1834,2303.6679999999997,241.6854,0.034237682,3.799999999999997
19,13.35,0.10249212,Tier 2|3,Supermarket Type1,2748.4224,5,916.1408,5725.88,113.8518,0.102426197,2.0
20,18.85,0.138190277,Tier 2|3,Supermarket Type1,3775.086,22,3020.0688,3775.086,73.238,0.138190277,1.5999999999999943
